Vaccine Candidate	Trial Phase	Donor Country	Finalized Commitment	Manufacturer	Manufacturer Primary Location	Recipient Country 	Doses Committed (in millions)	1 or 2 doses	Timeline 	Donation/Purchased	Secondary or Tertiary Transfer	Transfer Type	Recipient Income Level	 GNI/capita (Atlas method) 	GNI (Current USD, in millions)	Doses/Capita	Proportion of population	 Population size 	Population size (in millions)	Notes	Source
AstraZeneca/Oxford	Approved	Grenada	Yes			Trinidad and Tobago	0.01	2	May-21	Donation	Tertiary	Direct	High income	 17,010 	23,723.24	0.0072	0.358%	 1,394,973 	 1.395 	Grenada has not announced any primary arrangements with AstraZeneca, and therefore arrangement is assumed to be tertiary	https://foreign.gov.tt/resources/news/trinidad-and-tobago-receives-10000-covid-19-vaccines-grenada/
Pfizer/BioNTech	Approved	Hungary	Yes			Czech Republic	0.041	2	May-21	Donation	Secondary	Direct	High income	 21,940 	234,060.68	0.0038	0.192%	 10,669,709 	 10.670 		https://www.politico.eu/article/czech-republic-coronavirus-vaccine-andrej-babis-allies-offer-80k/ ; https://hungarytoday.hu/hungary-czechia-pfizer-donation-vaccines/
AstraZeneca/Oxford	Approved	Hungary	Yes			Cabo Verde	0.1	2	Jun-21	Donation	Secondary	Direct	Lower middle income	 3,630 	1,995.34	0.1818	9.092%	 549,935 	 0.550 	Doses delivered in June 2021	https://apnews.com/article/africa-hungary-europe-coronavirus-pandemic-coronavirus-vaccine-23609ba47db0ff58c4249a6a9177c010
AstraZeneca/Oxford	Approved	Hungary	Yes			North Macedonia	0.006	2	May-21	Donation	Secondary	Direct	Upper middle income	 5,840 	12,164.37	0.0029	0.144%	 2,083,459 	 2.083 	Doses donated for the border police	https://meta.mk/en/hungary-donated-6000-doses-of-covid-19-vaccines-for-border-police-in-north-macedonia/
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Afghanistan	0.5	2	Feb-21	Donation	Secondary	Direct	Low income	 530 	20,043.57	0.0131	0.657%	 38,041,754 	 38.042 		https://www.reuters.com/article/us-health-coronavirus-india-diplomacy/vaccine-diplomacy-india-seeks-to-rival-china-with-broad-shipments-idUSKBN2A70C8 ; https://www.aljazeera.com/news/2021/2/8/afghanistan-gets-first-doses-of-covid-19-vaccine-from-india
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Albania	0.05	2	Apr-21	Donation	Secondary	Direct	Upper middle income	 5,220 	14,906.83	0.0175	0.876%	 2,854,191 	 2.854 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Antigua and Barbuda	0.04	2	Feb-21	Donation	Secondary	Direct	High income	 16,600 	1,611.79	0.4119	20.594%	 97,118 	 0.097 		https://antiguaobserver.com/indias-gift-of-covid-vaccines-could-reach-ab-within-a-fortnight/
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Bahamas, The	0.02	2	Mar-21	Donation	Secondary	Direct	High income	 33,460 	13,030.48	0.0514	2.568%	 389,482 	 0.389 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Bahrain	0.1	2		Donation	Secondary	Direct	High income	 22,110 	36,288.39	0.0609	3.047%	 1,641,172 	 1.641 		https://www.hindustantimes.com/india-news/india-sends-22-9-mn-doses-of-covid-19-vaccines-to-20-countries-more-in-pipeline-101613142400644.html
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Bangladesh	3.3	2	Jan-21	Donation	Secondary	Direct	Lower middle income	 1,940 	316,235.04	0.0202	1.012%	 163,046,161 	 163.046 	Three separate donations of 2m, 1.2m and 0.1m doses	"https://www.reuters.com/article/us-health-coronavirus-india-vaccine/india-pharmacy-of-the-world-starts-covid-vaccine-exports-idUSKBN29P0IC
https://www.thehindu.com/news/national/india-begins-massive-push-for-neighbourhood-vaccine-lakhs-to-be-shipped-out-on-wednesday/article33611977.ece
https://indianexpress.com/article/india/india-begins-vaccine-diplomacy-first-doses-in-bhutan-maldives-7153479/"
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Barbados	0.1	2		Donation	Secondary	Direct	High income	 17,380 	4,988.85	0.3484	17.420%	 287,025 	 0.287 		https://www.hindustantimes.com/india-news/india-sends-22-9-mn-doses-of-covid-19-vaccines-to-20-countries-more-in-pipeline-101613142400644.html
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Belize	0.025	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 4,480 	1,750.39	0.0640	3.202%	 390,353 	 0.390 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Bhutan	0.55	2	Jan-21	Donation	Secondary	Direct	Lower middle income	 3,140 	2,395.59	0.7208	36.038%	 763,092 	 0.763 	Initial donation of 0.15m doses, followed by another 0.4m doses in March	"https://www.mea.gov.in/vaccine-supply.htm ; https://www.reuters.com/article/us-health-coronavirus-india-vaccine/india-pharmacy-of-the-world-starts-covid-vaccine-exports-idUSKBN29P0IC
https://www.thehindu.com/news/national/india-begins-massive-push-for-neighbourhood-vaccine-lakhs-to-be-shipped-out-on-wednesday/article33611977.ece
https://indianexpress.com/article/india/india-begins-vaccine-diplomacy-first-doses-in-bhutan-maldives-7153479/"
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Botswana	0.03	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 7,650 	17,629.59	0.0130	0.651%	 2,303,697 	 2.304 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Cambodia	0.1	2	Feb-21	Donation	Secondary	Direct	Lower middle income	 1,530 	25,211.73	0.0061	0.303%	 16,486,542 	 16.487 		https://www.reuters.com/article/us-health-coronavirus-india-diplomacy/vaccine-diplomacy-india-seeks-to-rival-china-with-broad-shipments-idUSKBN2A70C8
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Congo, Dem. Rep.	0.05	2	Mar-21	Donation	Secondary	Direct	Low income	 530 	46,312.64	0.0006	0.029%	 86,790,567 	 86.791 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Côte d'Ivoire	0.05	2	Mar-21	Donation	Secondary	Direct	Lower middle income	 2,290 	58,971.18	0.0019	0.097%	 25,716,544 	 25.717 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Dominica	0.07	2		Donation	Secondary	Direct	Upper middle income	 7,920 	568.75	0.9748	48.741%	 71,808 	 0.072 		https://www.hindustantimes.com/india-news/india-sends-22-9-mn-doses-of-covid-19-vaccines-to-20-countries-more-in-pipeline-101613142400644.html
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Dominican Republic	0.03	2	Feb-21	Donation	Secondary	Direct	Upper middle income	 8,080 	86,749.30	0.0028	0.140%	 10,738,958 	 10.739 		https://dominicantoday.com/dr/covid-19/2021/02/20/more-doses-arrive-as-covid-vaccination-advances-in-dominican-republic/
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Eswatini	0.02	2	Mar-21	Donation	Secondary	Direct	Lower middle income	 3,670 	4,218.02	0.0174	0.871%	 1,148,130 	 1.148 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes			Fiji	0.1	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 5,800 	5,163.26	0.1124	5.618%	 889,953 	 0.890 	US embassy donated locally-sourced cold storage for the vaccines	https://fj.usembassy.gov/united-states-embassy-donates-cold-storage-for-vaccine-effort/
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Ghana	0.05	2	Mar-21	Donation	Secondary	Direct	Lower middle income	 2,220 	67,507.60	0.0016	0.082%	 30,417,856 	 30.418 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Guatemala	0.2	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 4,610 	76,502.44	0.0120	0.602%	 16,604,026 	 16.604 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Guyana	0.08	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 6,630 	5,188.28	0.1022	5.110%	 782,766 	 0.783 		https://www.mea.gov.in/vaccine-supply.htm
Bharat Biotech	Approved	India	Yes	Bharat Biotech	India	Iran, Islamic Rep.	0.5	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 5,300 	433,734.19	0.0060	0.302%	 82,913,906 	 82.914 	India has already sent 0.15m of the total promised doses. Reports do not mention donation or purchase but is most likely a donation	https://www.livemint.com/science/health/150000-doses-of-bharat-biotech-s-covaxin-reaches-iran-11615461876905.html
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Jamaica	0.05	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 5,320 	15,695.26	0.0170	0.848%	 2,948,279 	 2.948 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Kenya	0.1	2	Mar-21	Donation	Secondary	Direct	Lower middle income	 1,750 	91,823.75	0.0019	0.095%	 52,573,973 	 52.574 		https://www.reuters.com/article/us-health-coronavirus-kenya/kenyan-covid-vaccine-offer-to-diplomats-draws-local-doctors-ire-idUSKBN2BC0LH
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Malawi	0.5	2	Mar-21	Donation	Secondary	Direct	Low income	 380 	7,164.35	0.0268	1.342%	 18,628,747 	 18.629 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Maldives	0.2	2	Jan-21	Donation	Secondary	Direct	Upper middle income	 9,680 	5,137.43	0.3767	18.834%	 530,953 	 0.531 	2 shipments of 0.1m each. The vaccine shipment is part of India's neighbourhood first foreign policy as 'under grant assistance', and delivered on 20 jan. The govt hopes to ship about 1m doses to Bhutan. This shipment is among the first in the line of countries set to receive vaccine doses from India and also the first in South Asia. This also puts India ahead of China which had also committed to supplying vaccine in the South Asian region. Pakistan is reportedly left out of this vaccine assistance.	https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Mauritius	0.1	2	Jan-21	Donation	Secondary	Direct	High income	 12,900 	16,322.00	0.0790	3.950%	 1,265,711 	 1.266 	HT reported 0.15m doses, but official govt sources report 0.1m, which is used here.	https://pmo.govmu.org/News/SitePages/Mauritius-receives-first-consignment-of-100-000-doses-of-COVID-19-vaccines-from-India.aspx ; https://www.hindustantimes.com/india-news/india-sends-covishield-vaccines-to-mauritius-seychelles-myanmar-101611280448648.html
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Mongolia	0.15	2	Feb-21	Donation	Secondary	Direct	Lower middle income	 3,790 	12,234.61	0.0465	2.325%	 3,225,167 	 3.225 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Mozambique	0.01	2	Mar-21	Donation	Secondary	Direct	Low income	 490 	14,772.88	0.0003	0.016%	 30,366,036 	 30.366 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Myanmar	1.5	2	Jan-21	Donation	Secondary	Direct	Lower middle income	 1,390 	75,186.23	0.0278	1.388%	 54,045,420 	 54.045 	The vaccine shipment is part of India's neighbourhood first foreign policy as 'under grant assistance', and expected to be delivered on 21 jan. This shipment is among the first in the line of countries set to receive vaccine doses from India and also the first in South Asia. This also puts India ahead of China which had also committed to supplying vaccine in the South Asian region. Pakistan is reportedly left out of this vaccine assistance.	https://www.wsj.com/articles/india-starts-covid-19-vaccine-drive-to-neighboring-countries-11611234933
Bharat Biotech	Approved	India	Yes	Bharat Biotech	India	Myanmar	0.2	2	Feb-21	Donation	Secondary	Direct	Lower middle income	 1,390 	75,186.23	0.0037	0.185%	 54,045,420 	 54.045 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Namibia	0.03	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 5,060 	12,628.88	0.0120	0.601%	 2,494,530 	 2.495 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Nauru	0.01	2	Apr-21	Donation	Secondary	Direct	High income	 14,230 	179.01	0.7948	39.742%	 12,581 	 0.013 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Nepal	1	2	Jan-21	Donation	Secondary	Direct	Lower middle income	 1,090 	31,058.96	0.0350	1.748%	 28,608,710 	 28.609 		https://www.wsj.com/articles/india-starts-covid-19-vaccine-drive-to-neighboring-countries-11611234933; https://www.hindustantimes.com/india-news/india-sends-covishield-vaccines-to-mauritius-seychelles-myanmar-101611280448648.html
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Nicaragua	0.2	2	Feb-21	Donation	Secondary	Direct	Lower middle income	 1,890 	12,342.05	0.0306	1.528%	 6,545,502 	 6.546 	Official sources report 0.2m doses, lower than the earlier reported 0.5m doses.	https://www.mea.gov.in/vaccine-supply.htm ; https://www.financialexpress.com/lifestyle/health/vaccine-maitri-diplomacy-more-latin-american-countries-to-get-covid-vaccine-doses-from-india/2194625/
Bharat Biotech	Approved	India	Unclear	Bharat Biotech	India	Nicaragua	Unclear	2		Donation	Secondary	Direct	Lower middle income	 1,890 	12,342.05	#VALUE!	#VALUE!	 6,545,502 	 6.546 	The number of doses has not been reported. A different article in FinancialExpress mentions that almost half a million doses will be donated of AstraZeneca but nothing on donations of Bharat Biotech	https://www.efe.com/efe/america/sociedad/nicaragua-asegura-la-compra-de-7-4-millones-vacunas-para-covid-19/20000013-4439660 ; https://www.financialexpress.com/lifestyle/health/vaccine-maitri-diplomacy-more-latin-american-countries-to-get-covid-vaccine-doses-from-india/2194625/
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Niger	0.025	2	Mar-21	Donation	Secondary	Direct	Low income	 600 	13,877.72	0.0011	0.054%	 23,310,715 	 23.311 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Oman	0.1	2		Donation	Secondary	Direct	High income	 14,110 	70,217.01	0.0201	1.005%	 4,974,986 	 4.975 		https://www.hindustantimes.com/india-news/india-sends-22-9-mn-doses-of-covid-19-vaccines-to-20-countries-more-in-pipeline-101613142400644.html
Bharat Biotech	Approved	India	Yes	Bharat Biotech	India	Paraguay	0.1	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 5,520 	38,878.97	0.0142	0.710%	 7,044,636 	 7.045 		https://www.business-standard.com/article/current-affairs/india-provides-1-00-000-doses-of-covaxin-against-covid-19-to-paraguay-121033000051_1.html ; https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Rwanda	0.05	2	Mar-21	Donation	Secondary	Direct	Low income	 830 	10,448.06	0.0040	0.198%	 12,626,950 	 12.627 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Senegal	0.025	2	Mar-21	Donation	Secondary	Direct	Lower middle income	 1,460 	23,752.37	0.0015	0.077%	 16,296,364 	 16.296 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Seychelles	0.05	2	Jan-21	Donation	Secondary	Direct	High income	 16,900 	1,650.34	0.5122	25.608%	 97,625 	 0.098 	Earlier reports state 0.1m doses, but official Indian sources report 0.05m doses.	ttps://www.mea.gov.in/vaccine-supply.htm ; https://www.reuters.com/article/uk-health-coronavirus-seychelles/seychelles-rolls-out-covid-19-vaccination-using-chinas-sinopharm-says-presidents-office-idUSKBN29G0J0
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Sri Lanka	0.5	2	Jan-21	Donation	Secondary	Direct	Lower middle income	 4,020 	87,694.06	0.0229	1.147%	 21,803,000 	 21.803 		https://www.wsj.com/articles/india-starts-covid-19-vaccine-drive-to-neighboring-countries-11611234933; https://www.hindustantimes.com/india-news/india-sends-covishield-vaccines-to-mauritius-seychelles-myanmar-101611280448648.html ; https://apnews.com/article/sri-lanka-india-coronavirus-pandemic-colombo-coronavirus-vaccine-e48e5de02fec9a91f929cbfd0355a3a1
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	St. Kitts and Nevis	0.02	2	Feb-21	Donation	Secondary	Direct	High income	 19,290 	1,019.36	0.3785	18.927%	 52,834 	 0.053 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	St. Lucia	0.025	2	Feb-21	Donation	Secondary	Direct	Upper middle income	 11,020 	2,014.24	0.1368	6.838%	 182,790 	 0.183 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	St. Vincent and the Grenadines	0.04	2	Feb-21	Donation	Secondary	Direct	Upper middle income	 7,460 	825.44	0.3617	18.085%	 110,589 	 0.111 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	No	Serum Institute	India	Suriname	0.05	2	Feb-21	Donation	Secondary	Direct	Upper middle income	 5,420 	3,149.27	0.0860	4.300%	 581,363 	 0.581 		https://www.reuters.com/article/us-health-coronavirus-suriname-vaccine/suriname-begins-coronavirus-vaccination-campaign-with-donated-doses-idUSKBN2AN2AT
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Trinidad and Tobago	0.04	2	Apr-21	Donation	Secondary	Direct	High income	 17,010 	23,723.24	0.0287	1.434%	 1,394,973 	 1.395 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	Uganda	0.1	2	Mar-21	Donation	Secondary	Direct	Low income	 780 	34,748.45	0.0023	0.113%	 44,269,594 	 44.270 		https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford	Approved	India	Yes	Serum Institute	India	UN Peacekeepers	0.005	2		Donation	Secondary	Direct		 -   	0.00	#DIV/0!	#DIV/0!	 -   	 -   	According to UN Peacekeeping, currently, a total of 94,484 personnel are serving in 12 peacekeeping operations across the world led by the Department of Peace Operations. The donation will allow vaccinations for all the personnel.	https://www.ndtv.com/india-news/un-chief-appreciates-india-for-leadership-in-covid-fight-vaccine-assistance-2375327 ; https://www.nytimes.com/2021/02/21/world/serum-institute-india-covid-vaccine.html
Bharat Biotech	Approved	India	Yes	Bharat Biotech	India	Zimbabwe	0.035	2	Mar-21	Donation	Secondary	Direct	Lower middle income	 1,390 	20,392.45	0.0024	0.119%	 14,645,468 	 14.645 		https://www.mea.gov.in/vaccine-supply.htm
Moderna	Approved	Israel	Yes			Czech Republic	0.005	2		Donation	Secondary	Direct	High income	 21,940 	234,060.68	0.0005	0.023%	 10,669,709 	 10.670 	Thought to be in response to Czech Republic's promise to open a diplomatic office in Jerusalem. Plans for donation appear to be suspended after Israel came under criticism for sharing doses abroad before vaccinating Palestinians.	https://www.nytimes.com/2021/02/23/world/middleeast/israel-palestinians-vaccine-diplomacy.html ; https://www.reuters.com/article/us-health-coronavirus-israel-vaccines-idUSKBN2AN15T ; https://www.nbcnews.com/news/world/israel-suspends-plan-give-covid-vaccines-allies-abroad-most-palestinians-n1258933
Moderna	Approved	Israel	Yes			Guatemala	0.005	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 4,610 	76,502.44	0.0003	0.015%	 16,604,026 	 16.604 	Thought to be in response to Guatemala moving its embassy to Jerusalem. Vaccines have arried in Guatemala, but plans for donation to other countries appear to be temporarily suspended after Israel was criticized for sending vaccines abroad before vaccinating Palestinians.	https://www.nytimes.com/2021/02/23/world/middleeast/israel-palestinians-vaccine-diplomacy.html ; https://www.reuters.com/article/us-health-coronavirus-israel-vaccines-idUSKBN2AN15T ; https://www.nbcnews.com/news/world/israel-suspends-plan-give-covid-vaccines-allies-abroad-most-palestinians-n1258933
Moderna	Approved	Israel	Yes			Honduras	0.005	2	Mar-21	Donation	Secondary	Direct	Lower middle income	 2,390 	23,303.43	0.0005	0.026%	 9,746,117 	 9.746 	Thought to be in response to Honduras pledging to move its embassy to Jerusalem. Vaccines have been received, but plans for donations to other countries appear to be suspended after Israel was criticized for sending vaccines abroad before sharing with Palestinians.	https://www.reuters.com/article/us-health-coronavirus-israel-vaccines-idUSKBN2AN15T ; https://www.nbcnews.com/news/world/israel-suspends-plan-give-covid-vaccines-allies-abroad-most-palestinians-n1258933 ; https://www.nytimes.com/2021/02/23/world/middleeast/israel-palestinians-vaccine-diplomacy.html
Moderna	Approved	Israel	Yes			Rwanda	0.002	2	Mar-21	Donation	Secondary	Direct	Low income	 830 	10,448.06	0.0002	0.008%	 12,626,950 	 12.627 		https://www.jpost.com/israel-news/a-g-institutes-lengthy-approval-process-for-foreign-vaccine-aid-660625
Gamaleya	Approved	Israel	Yes			Syrian Arab Republic	Unclear	2		Exchange	Secondary	Direct	Low income	 .. 	15,898.30	#VALUE!	#VALUE!	 17,070,135 	 17.070 	It has been reported that Israel agreed to purchase an undisclosed number of Gamaleya vaccines in exchange for a prisoner swap in February 2021.	https://www.nytimes.com/2021/02/20/world/middleeast/israel-syria-prisoner-swap-vaccines.html
Moderna	Approved	Israel	Yes			West Bank and Gaza	0.105	2		Donation	Secondary	Direct	Lower middle income	 4,190 	19,140.22	0.0224	1.121%	 4,685,306 	 4.685 	According to the Washington Post, the Palestinian health minister said on 20 Feb that Israel had agreed to providing 0.1m doses for Palestinian workers who regularly cross into Israel to work. Israel has yet to publicly confirm that arrangement. A different Reuters article reported that Israel had confirmed it will allocate 0.13m doses. This is in addition to the 5,000 doses to Palestinians for front-line medical workers. There are an estimated 5m Palestinians living in the Gaza Strip and the West Bank.	https://apnews.com/article/middle-east-israel-coronavirus-pandemic-9cf252d0a19c1e9b1f9079ce8c203d3b
Pfizer/BioNTech	Approved	Israel	Terminated			Palestine	1.4	2	Jun-21	Loan	Secondary	Direct	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	Israel and Palestine entered an agreement where Israel would send doses in exchange for "receiving a reciprocal number of doses" from Palestine later this year. However, this was cancelled as Palestine reportedly received doses that were set to expire soon	https://www.reuters.com/world/middle-east/israel-give-palestinians-1-million-covid-vaccine-doses-israeli-statement-2021-06-18/
Not available	#N/A	Italy	Yes			Unclear	15	#N/A		Donation	Secondary	Unclear	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	Unclear which vaccine(s) will be donated or whether the vaccines will be donated to COVAX or through bilateral donations	https://www.politico.eu/article/eu-leaders-agree-to-donate-100m-vaccine-doses/ ; https://www.devex.com/news/g-20-shoots-for-global-covid-19-solidarity-advocates-say-aim-higher-99963
AstraZeneca/Oxford	Approved	Japan	Yes			Taiwan	2.24	2	Jun-21	Donation	Secondary	Direct	High income	 26,594 	#N/A	0.0949	4.745%	 23,603,121 	 23.603 	Japan delivered to Taiwan 1.24 million doses of AstraZeneca PLC's (AZN.L) coronavirus vaccine on Friday for free, in a gesture that will more than double the amount of shots the island has received to date. Another donation of 1m doses announced late June 2021	https://www.reuters.com/world/asia-pacific/japan-provide-12-mln-doses-coronavirus-vaccine-taiwan-2021-06-04/ ; https://www.reuters.com/business/healthcare-pharmaceuticals/japan-give-1-mln-doses-vaccine-each-taiwan-vietnam-2021-06-25/
Not available	#N/A	Japan	Yes			Unclear	30	#N/A		Donation	Secondary	Unclear	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	Japan pledged to donate doses to COVAX and other countries at the GAVI summit in June 2021. The division of doses between COVAX and bilateral donations has not been specified. Other details to follow	https://www.gavi.org/news/media-room/world-leaders-unite-commit-global-equitable-access-covid-19-vaccines
AstraZeneca/Oxford	Approved	Japan	No			Thailand		2	Jul-21	Donation	Secondary	Direct	Upper middle income	 7,260 	505,271.07	0.0000	0.000%	 69,625,582 	 69.626 	Japan has said it will donate doses to Thailand. Agreement to be confirmed in the coming weeks with delivery set for July 2021	https://www.reuters.com/world/asia-pacific/japan-donate-astrazeneca-vaccines-thailand-2021-06-21/
AstraZeneca/Oxford	Approved	Japan	Yes			Vietnam	2	2	Jun-21	Donation	Secondary	Direct	Lower middle income	 2,590 	249,440.75	0.0207	1.037%	 96,462,106 	 96.462 	Japan donated 1m doses in June 2021 and has announced another donation of 1m doses. These are outside the 30m doses pledged to COVAX	https://www.reuters.com/world/asia-pacific/japan-ship-1-mln-covid-19-vaccines-vietnam-june-16-2021-06-15/ ; https://www.reuters.com/business/healthcare-pharmaceuticals/japan-give-1-mln-doses-vaccine-each-taiwan-vietnam-2021-06-25/
AstraZeneca/Oxford	Approved	Japan	Yes			Thailand	1	2		Donation	Secondary	Direct	Upper middle income	 7,260 	505,271.07	0.0144	0.718%	 69,625,582 	 69.626 	Donations announced outside of the 30m doses pledged for COVAX, reportedly to speed up deliveries. More donations for the region are expected to be announced soon.	https://www.reuters.com/business/healthcare-pharmaceuticals/japan-give-1-mln-doses-vaccine-each-taiwan-vietnam-2021-06-25/
AstraZeneca/Oxford	Approved	Japan	Yes			Malaysia	1	2		Donation	Secondary	Direct	Upper middle income	 11,230 	358,835.30	0.0313	1.565%	 31,949,777 	 31.950 	Donations announced outside of the 30m doses pledged for COVAX, reportedly to speed up deliveries. More donations for the region are expected to be announced soon.	https://www.reuters.com/business/healthcare-pharmaceuticals/japan-give-1-mln-doses-vaccine-each-taiwan-vietnam-2021-06-25/
AstraZeneca/Oxford	Approved	Japan	Yes			Indonesia	1	2		Donation	Secondary	Direct	Upper middle income	 4,050 	1,097,222.98	0.0037	0.185%	 270,625,568 	 270.626 	Donations announced outside of the 30m doses pledged for COVAX, reportedly to speed up deliveries. More donations for the region are expected to be announced soon.	https://www.reuters.com/business/healthcare-pharmaceuticals/japan-give-1-mln-doses-vaccine-each-taiwan-vietnam-2021-06-25/
AstraZeneca/Oxford	Approved	Japan	Yes			Philippines	1	2		Donation	Secondary	Direct	Lower middle income	 3,850 	415,750.09	0.0092	0.462%	 108,116,615 	 108.117 	Donations announced outside of the 30m doses pledged for COVAX, reportedly to speed up deliveries. More donations for the region are expected to be announced soon.	https://www.reuters.com/business/healthcare-pharmaceuticals/japan-give-1-mln-doses-vaccine-each-taiwan-vietnam-2021-06-25/
Not available	#N/A	Latvia	Yes			Georgia	0.015	#N/A		Donation	Secondary	Direct	Upper middle income	 4,780 	17,789.95	0.0040	#N/A	 3,720,382 	 3.720 	Latvia has announced the commitment but other details are unknown	https://agenda.ge/en/news/2021/1536
AstraZeneca/Oxford	Approved	Lithuania	Yes			Ukraine	0.1	2		Donation	Secondary	Unclear	Lower middle income	 3,370 	141,637.01	0.0023	0.113%	 44,385,155 	 44.385 	Lithuania has pledged to donate 0.2m doses to its eastern partners. Allocation of the remaining doses is yet to be announced. The doses are expected to be delivered between July and end of September	https://urm.lt/default/en/news/lithuanias-foreign-minister-gabrielius-landsbergis-lithuania-to-allocate-200-000-vaccine-doses-to-eastern-partners ; https://www.reuters.com/article/health-coronavirus-lithuania-astrazeneca-idUSL8N2N12B2
