Vaccine Developer ,Manufacturer                            ,Manufacturer Type     ,Manufacturer Location,Income Level2      ,Anticipated Production Dose/Year (in millions),Anticipated Production Total Doses (in millions),Date Arrangement Publicly Announced,Part of Combination Procurement Arrangement,Government Sponsored/Supported,Arrangement Category     ,Arrangement Details                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Associated upgrades/technology transfer details                                                                                                                                                                                                                                                                                                                                                            ,Financing Details                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Primary Market Intended For,Income Level3      ,Secondary Market         ,Income Level4      ,Notes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Sources
Novavax           ,Biologics Manufacturing Centre          ,Government agency     ,Canada               ,High income        ,                                              ,                                                ,2/2/2021                           ,No                                         ,Canada                        ,Full process             ,Canadian government facility to manufacture Novavax in the country.                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Canada                     ,High income        ,                         ,#N/A               ,Not clear how this relates to existing purchase arrangements.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,https://www.globenewswire.com/news-release/2021/02/02/2168516/0/en/Novavax-Announces-Memorandum-of-Understanding-to-Produce-COVID-19-Vaccine-Made-in-Canada.html
Novavax           ,Takeda                                  ,Publicly traded       ,Japan                ,High income        ,250                                           ,                                                ,8/7/2020                           ,No                                         ,Japan                         ,Full process             ,"Takeda will handle the regulatory approval, production and distribution.                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",Novavax will license COVID-19 vaccine technology to Takeda for local production and commercialization in Japan. The tech transfer will include Novavax’ proprietary Matrix‑M™ adjuvant.                                                                                                                                                                                                                    ,"Funding for the tech transfer, infrastructure and scaling up to be provided by the Govt of Japan. Novavax will receive payments based on the success of the vaccine.                                                                                                                                                                                                                                                                                                           ",Japan                      ,High income        ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.takeda.com/newsroom/newsreleases/2020/novavax-and-takeda-announce-collaboration-for-novavax-covid-19-vaccine-candidate-in-japan/
Novavax           ,Serum Institute                         ,Publicly traded       ,India                ,Lower middle income,1000                                          ,                                                ,9/15/2020                          ,No                                         ,                              ,Full process             ,"Under an amendment of the existing agreement, Serum Institute will also manufacture the antigen component of the vaccine, suggesting will now be engaged in full process manufacturing.                                                                                                                                                                                                                                                                                                                                                  ",                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,World                      ,0                  ,India                    ,Lower middle income,Serum Institute has stated that half of the vaccines produced will be reserved for the Indian market. But it is not clear if the govt has purchased these or otherwise secured them.                                                                                                                                                                                                                                                                                                                                                                              ,https://ir.novavax.com/news-releases/news-release-details/novavax-announces-covid-19-vaccine-manufacturing-agreement-serum
Novavax           ,SK bioscience                           ,Privately held        ,South Korea          ,High income        ,                                              ,                                                ,8/13/2020                          ,No                                         ,South Korea                   ,Full process             ,"A development and supply agreement for the antigen component of the vaccine candidate. In February 2021, deal expanded to include a license to manufacture and commercialize the vaccine candidate for sale to the South Korean government.                                                                                                                                                                                                                                                                                              ",Details limited but includes tech transfer                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,World                      ,0                  ,South Korea              ,High income        ,"SK Bioscience plans to go public later this year. To be supplied to global markets including the COVAX Facility. ""In addition, the companies have signed a letter of intent with the Republic of Korea’s Ministry of Health and Welfare to work toward broad and equitable access to NVX-CoV2373 for the global market as well as to make the vaccine available in South Korea""                                                                                                                                                                               ",https://ir.novavax.com/news-releases/news-release-details/novavax-and-sk-bioscience-announce-collaboration-novavax-covid
Novavax           ,PolyPeptide Group                       ,Privately held        ,Sweden               ,High income        ,                                              ,                                                ,6/4/2020                           ,No                                         ,                              ,Bulk substance production,Will produce 2 key intermediates in the production of the vaccine candidate.                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Unspecified                ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.polypeptide.com/wp-content/uploads/2020/06/Press-Release-PolyPeptide-Novavax-Matrix-Adjuvant_2020-06-04.pdf
Novavax           ,Baxter International Inc                ,Publicly traded       ,United States        ,High income        ,                                              ,                                                ,1/11/2021                          ,No                                         ,                              ,Bulk substance production,Agreement to provide manufacturing services for the vaccine adjuvant. Manufacturing to occur at facility in Germany.                                                                                                                                                                                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,European Union             ,High income        ,United Kingdom           ,High income        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.baxter.com/baxter-newsroom/baxter-biopharma-solutions-announces-sterile-manufacturing-agreement-novavax-covid
Novavax           ,Praha Vaccines                          ,Privately held        ,India                ,Lower middle income,1000                                          ,                                                ,5/27/2020                          ,No                                         ,                              ,Full process             ,"Novavax fully acquired Praha Vaccines. The acquisition includes a 150,000-square foot state of the art vaccine and biologics manufacturing facility and other support buildings, along with the existing employees and all related and required infrastructure.                                                                                                                                                                                                                                                                          ",                                                                                                                                                                                                                                                                                                                                                                                                           ,Acquisition of Praha Vaccines for 167 million USD in an all-cash transaction by Novavax. Partially funded by CEPI.                                                                                                                                                                                                                                                                                                                                                               ,Unspecified                ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://ir.novavax.com/news-releases/news-release-details/novavax-expands-large-scale-global-manufacturing-capacity
Novavax           ,AGC Biologics                           ,Publicly traded       ,Denmark              ,High income        ,                                              ,                                                ,8/18/2020                          ,No                                         ,                              ,Bulk substance production,Manufacturing the adjuvant component of the vaccine candidate at facilities in the US and Denmark.                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Unspecified                ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.agc.com/en/news/detail/1201206_2814.html
Novavax           ,Biofabri                                ,Privately held        ,Spain                ,High income        ,                                              ,100                                             ,9/16/2020                          ,No                                         ,                              ,Bulk substance production,Biofabri will manufacture the Novavax vaccine antigen.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,European Union             ,High income        ,                         ,#N/A               ,"Based on current EU purchase agreements, this would amount to 100m doses.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",https://www.bioga.org/biofabri-del-grupo-zendal-elegida-por-la-farmaceutica-novavax-para-la-produccion-en-europa-de-su-vacuna-contra-el-covid/
Novavax           ,Fujifilm Diosynth Biotechnologies       ,Publicly traded       ,Japan                ,High income        ,180                                           ,                                                ,8/14/2020                          ,Yes                                        ,United Kingdom                ,Bulk substance production,Manufacturing arrangement for one of the vaccine components at sites in the UK and the US. UK site expected to prouduce up to 180m doses/year.                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,United Kingdom             ,High income        ,World                    ,0                  ,Deal with manufacturer and with the UK government. Excess supply above the 60 million produced at the UK factory may be made available to Novavax to sell to other markets.                                                                                                                                                                                                                                                                                                                                                                                       ,https://pharmaphorum.com/news/uk-signs-coronavirus-vaccine-deals-with-jj-and-novavax/; https://www.globenewswire.com/fr/news-release/2020/08/14/2078379/0/en/Novavax-and-UK-Government-Announce-Collaboration-and-Purchase-Agreement-for-Novavax-COVID-19-Vaccine-Candidate.html ; https://s3.amazonaws.com/one.org/vaccine-access-test/ONE_VAT_deal_Novavax_United_Kingdom.pdf
Novavax           ,Endo International                      ,Publicly traded       ,United States        ,High income        ,                                              ,                                                ,9/25/2020                          ,No                                         ,                              ,Full process             ,"Production of ""final drug product"" as well as fill and finish at facility in the US                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,United States              ,High income        ,                         ,#N/A               ,Initial batches intended for use in Phase 3 trial in the US and fill-finish for commercial distribution in the US.                                                                                                                                                                                                                                                                                                                                                                                                                                                ,https://investor.endo.com/news-releases/news-release-details/endo-announces-fill-finish-manufacturing-and-services-agreement
Pfizer/BioNTech   ,Sanofi                                  ,Publicly traded       ,France               ,High income        ,                                              ,125                                             ,1/27/2021                          ,No                                         ,                              ,Fill-and-finish          ,"Sanofi will provide ""late stage manufacturing"" and fill and packing of the vaccine                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,European Union             ,High income        ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.reuters.com/article/us-health-coronavirus-vaccines-sanofi-idUSKBN29V23Y ; https://www.sanofi.com/en/media-room/press-releases/2021/2021-01-27-07-30-00
Pfizer/BioNTech   ,Siegfried                               ,Publicly traded       ,Switzerland          ,High income        ,                                              ,                                                ,9/14/2020                          ,No                                         ,                              ,Fill-and-finish          ,Intention to begin fill-and-finish at Germany site starting in mid-2021.                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,Siegfried reported to be investing in dedicated production line and providing special storage capacity.                                                                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Unspecified                ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.siegfried.ch/siegfried+and+biontech+sign+contract+for+the+aseptic+fill+%2526+finish+of+a+covid-19+vaccine/news-en/5746
Pfizer/BioNTech   ,Delpharm                                ,Privately held        ,France               ,High income        ,                                              ,                                                ,11/23/2020                         ,No                                         ,                              ,Full process             ,Will manufacture at a facility in France.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                           ,#N/A               ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://pharmacie.ma/index/generate-pdf/article_id/6911
Pfizer/BioNTech   ,Rentschler Biopharma SE                 ,Privately held        ,Germany              ,High income        ,                                              ,                                                ,10/7/2020                          ,No                                         ,                              ,Bulk substance production,Responsible for downstream processing to produce a purified product at facility in Germany.                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                           ,#N/A               ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.rentschler-biopharma.com/news/press-releases-and-announcements/detail/view/joining-forces-against-sars-cov-2/
Pfizer/BioNTech   ,Novartis                                ,Publicly traded       ,Switzerland          ,High income        ,                                              ,                                                ,1/29/2021                          ,No                                         ,                              ,Fill-and-finish          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,World                      ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.novartis.com/news/media-releases/novartis-signs-initial-agreement-provide-manufacturing-capacity-pfizer-biontech-covid-19-vaccine
Pfizer/BioNTech   ,Shanghai Fosun Pharmaceutical Group Ltd ,Publicly traded       ,China                ,Upper middle income,                                              ,100                                             ,12/16/2020                         ,No                                         ,                              ,Fill-and-finish          ,"Mixed distribution and manufacturing deal. Fosun will import ingredients and finish the product locally, but specifics are not available                                                                                                                                                                                                                                                                                                                                                                                                 ",                                                                                                                                                                                                                                                                                                                                                                                                           ,"607.6m USD estimated total. Fosun paid an estimated 135 million EUR for exclusive commercialization rights on the Chinese mainland, Hong Kong, Macao, and Taiwan. Fosun will be entitled to 60% of gross profits from vaccines it makes from imported ingredients, and 65% of profits from sales of doses imported ready to use. Will pay 303.80 million USD for first 50 million doses supplied to Fosun; this  number used to calculate total price based on number of doses.",China                      ,Upper middle income,Hong Kong                ,High income        ,"Exclusive commercialization rights with Fosun Pharma for China, Hong Kong, Macao, and Taiwain. \                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",https://asia.nikkei.com/Spotlight/Coronavirus/Fosun-to-import-100m-doses-of-BioNTech-vaccine-into-China; https://www.reuters.com/article/us-health-coronavirus-biontech-fosunphar-idUSKBN25N21X ; https://uk.reuters.com/article/us-health-coronavirus-vaccine-biontech/shanghai-fosun-pharma-sinopharm-group-sign-deal-to-supply-biontech-coronavirus-vaccine-candidate-idUKKBN25Y1BC ; https://asia.nikkei.com/Spotlight/Caixin/China-s-Fosun-to-import-7.2m-doses-of-BioNTech-Pfizer-COVID-vaccine
Sinopharm/Beijing ,BCHT Bioteknologi Indonesia             ,                      ,Indonesia            ,Upper middle income,                                              ,                                                ,8/25/2020                          ,No                                         ,                              ,                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                           ,#N/A               ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://asia.nikkei.com/Spotlight/Coronavirus/Indonesia-teams-with-China-s-Sinovac-for-COVID-vaccine
